Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PER
Terry Taylor,1703902,PF,23,CHI/IND,2.9,264,8.5,0.52,0.263,0.545,1.5,0.3,0.1,0.2,0.3,11.0
Jared Butler,1674655,PG,22,OKC,6.2,77,12.8,0.469,0.5,,0.7,1.3,0.8,0.0,0.8,13.0
Jericho Sims,1639842,C,24,NYK,3.4,812,15.6,0.776,0.0,0.75,4.7,0.5,0.3,0.5,0.5,13.8
Sam Hauser,1637966,SF,25,BOS,6.4,1290,16.1,0.455,0.418,0.706,2.6,0.9,0.4,0.3,0.4,12.7
Kessler Edwards,1637966,SF,22,BRK/SAC,2.8,385,10.7,0.387,0.309,0.733,1.7,0.6,0.4,0.2,0.4,8.4
Isaiah Todd,1575000,PF,21,WAS,1.5,61,10.2,0.158,0.1,1.0,2.0,0.7,0.2,0.0,0.3,-1.0
Vit Krejci,1563518,PG,22,ATL,1.2,165,5.7,0.405,0.238,0.5,0.9,0.6,0.2,0.0,0.2,7.7
JT Thor,1563518,PF,20,CHO,3.8,969,14.0,0.399,0.317,0.702,2.2,0.5,0.3,0.3,0.6,7.0
Marko Simonovic,1563518,C,23,CHI,0.9,20,2.9,0.286,0.25,0.5,0.3,0.0,0.0,0.0,0.0,-0.1
Ayo Dosunmu,1563518,SG,23,CHI,8.6,2098,26.2,0.493,0.312,0.805,2.8,2.6,0.8,0.3,1.2,10.2
Isaiah Livers,1563518,PF,24,DET,6.7,1199,23.1,0.417,0.365,0.821,2.8,0.8,0.5,0.5,0.6,8.4
Daishen Nix,1563518,PG,20,HOU,4.0,914,16.0,0.342,0.286,0.667,1.7,2.3,0.5,0.1,1.5,5.3
Jason Preston,1563518,PG,23,LAC,2.9,124,8.9,0.439,0.278,0.0,1.6,1.9,0.1,0.0,0.7,10.3
Austin Reaves,1563518,SG,24,LAL,13.0,1843,28.8,0.529,0.398,0.864,3.0,3.4,0.5,0.3,1.5,14.9
Jose Alvarado,1563518,PG,24,NOP,9.0,1310,21.5,0.411,0.336,0.813,2.3,3.0,1.1,0.2,1.3,11.8
Miles McBride,1563518,PG,22,NYK,3.5,760,11.9,0.358,0.299,0.667,0.8,1.1,0.6,0.1,0.4,8.4
Aaron Wiggins,1563518,SG,24,OKC,6.8,1297,18.5,0.512,0.393,0.831,3.0,1.1,0.6,0.2,0.8,12.2
Jock Landale,1563518,C,27,PHO,6.6,979,14.2,0.528,0.25,0.752,4.1,1.0,0.2,0.4,0.9,16.4
Trendon Watford,1563518,PF,22,POR,7.4,1182,19.1,0.56,0.391,0.72,3.8,2.1,0.5,0.2,1.1,13.6
