Player Name,Salary,Position,Age,Team,PTS,Total Minutes
Markieff Morris,2905851,PF,33,BRK/DAL,3.8,355
Andre Iguodala,2905851,PF,39,GSW,2.1,113
Serge Ibaka,2905851,C,33,MIL,4.1,185
Udonis Haslem,2905851,C,42,MIA,3.9,71
Wesley Matthews,2905851,SF,36,MIL,3.4,820
Austin Rivers,2905851,SG,30,MIN,4.9,1016
Bismack Biyombo,2905851,C,30,PHO,4.3,874
Taj Gibson,2905851,C,37,WAS,3.4,480
Precious Achiuwa,2840160,C,23,TOR,9.2,1140
Christian Braun,2808600,SG,21,DEN,4.7,1181
Jordan Nwora,2800000,SF,24,MIL/IND,8.7,1188
Jalen Johnson,2792640,SF,21,ATL,5.6,1042
Tyrese Maxey,2726880,SG,22,PHI,20.3,2016
Bruno Fernando,2717391,C,24,HOU/ATL,3.9,405
Walker Kessler,2696400,C,21,UTA,9.2,1703
Keon Johnson,2681040,SG,20,POR,4.7,416
Charles Bassey,2674742,C,22,SAS,5.7,508
Matthew Dellavedova,2628597,PG,32,SAC,1.5,213
Trey Lyles,2625000,PF,27,SAC,7.6,1247
Zeke Nnaji,2617800,PF,22,DEN,5.2,728
David Roddy,2588640,PF,21,MEM,6.7,1258
Isaiah Jackson,2573760,C,21,IND,7.2,1042
MarJon Beauchamp,2485200,SF,22,MIL,5.1,701
Usman Garuba,2471160,C,20,HOU,3.0,970
Raul Neto,2463490,PG,30,CLE,3.3,505
Frank Kaminsky,2463490,C,29,HOU/ATL,2.5,235
Montrezl Harrell,2463490,C,29,PHI,5.6,681
Blake Wesley,2385480,SG,19,SAS,5.0,669
Josh Christopher,2372160,SG,21,HOU,5.8,786
Isaiah Roby,2330681,PF,24,SAS,4.1,474
Lindy Waters III,2316876,SG,25,OKC,5.2,531
Immanuel Quickley,2316240,SG,23,NYK,14.9,2344
John Konchar,2300000,SF,26,MEM,5.1,1494
Rodney McGruder,2298385,SG,31,DET,5.7,524
Bryn Forbes,2298385,SG,29,MIN,3.6,268
Damian Jones,2298385,C,27,LAL/UTA,3.5,477
Quentin Grimes,2277000,SG,22,NYK,11.3,2121
Saben Lee,2266640,PG,23,PHI/PHO,6.0,373
Andrew Nembhard,2244111,SG,23,IND,9.5,2073
Payton Pritchard,2239200,PG,25,BOS,5.6,643
Bones Hyland,2201520,PG,22,DEN/LAC,11.8,1085
Bol Bol,2200000,PF,23,ORL,9.1,1505
Peyton Watson,2193960,SG,20,DEN,3.3,186
Udoka Azubuike,2174880,C,23,UTA,3.5,359
Jaden McDaniels,2161440,SF,22,MIN,12.1,2416
Jordan McLaughlin,2160000,PG,26,MIN,3.7,678
Malachi Flynn,2145720,PG,24,TOR,4.6,691
Cam Thomas,2138160,SG,21,BRK,10.6,948
Luke Kornet,2133278,C,27,BOS,3.8,804
Damion Lee,2133278,SG,30,PHO,8.2,1506
Juan Toscano-Anderson,2133278,SF,29,LAL/UTA,3.0,700
Desmond Bane,2130240,SG,24,MEM,21.5,1841
Jaden Springer,2125200,SG,20,PHI,2.6,89
Day'Ron Sharpe,2109480,C,21,BRK,4.7,552
Tony Bradley,2036318,C,25,CHI,1.6,33
Frank Ntilikina,2036318,SG,24,DAL,2.9,607
Garrison Mathews,2000000,SG,26,HOU/ATL,4.8,686
Jaylin Williams,2000000,C,20,OKC,5.9,914
Jeremiah Robinson-Earl,2000000,PF,22,OKC,6.8,814
Kenrich Williams,2000000,PF,28,OKC,8.0,1206
Caleb Houstan,2000000,SF,20,ORL,3.8,812
Shake Milton,1997718,SG,26,PHI,8.4,1567
Aaron Holiday,1968175,PG,26,ATL,3.9,845
Yuta Watanabe,1968175,SF,28,BRK,5.6,928
Edmond Sumner,1968175,SG,27,BRK,7.1,736
Theo Pinson,1968175,SG,27,DAL,2.4,323
Thomas Bryant,1968175,C,25,DEN/LAL,9.8,1081
Josh Okogie,1968175,SG,24,PHO,7.3,1350
Drew Eubanks,1968175,C,25,POR,6.6,1584
Dean Wade,1930681,PF,26,CLE,4.7,891
Terance Mann,1930681,SG,26,LAC,8.8,1872
Jaylen Nowell,1930681,SG,23,MIN,10.8,1252
Naz Reid,1930681,C,23,MIN,11.5,1251
Jalen McDaniels,1930681,SF,25,PHI/CHO,9.4,1913
Daniel Gafford,1930681,C,24,WAS,9.0,1604
Chimezie Metu,1910860,PF,25,SAC,4.9,689
Davon Reed,1902133,SG,27,DEN/LAL,2.1,342
KZ Okpala,1902133,PF,23,SAC,1.3,248
Wenyen Gabriel,1878720,C,25,LAL,5.5,1024
Thanasis Antetokounmpo,1878720,PF,30,MIL,1.4,206
Moritz Wagner,1878720,C,25,ORL,10.5,1109
Keita Bates-Diop,1878720,PF,27,SAS,9.7,1452
Oshae Brissett,1846738,PF,24,IND,6.1,1083
Nathan Knight,1836090,C,25,MIN,3.7,291
Justin Jackson,1836090,SF,27,BOS,0.9,107
Isaiah Joe,1836090,SG,23,OKC,9.5,1395
Ryan Arcidiacono,1836090,PG,28,NYK/POR,1.3,172
Anthony Gill,1836090,PF,30,WAS,3.3,624
Javonte Green,1815677,SF,29,CHI,5.2,480
Gabe Vincent,1815677,PG,26,MIA,9.4,1759
Max Strus,1815677,SF,26,MIA,11.5,2272
Nick Richards,1782621,C,25,CHO,8.2,1217
Lamar Stevens,1782621,SF,25,CLE,5.3,1120
